Population,Standard Length,Head Length,Snout Length,Eye Diameter,CP Depth,Body Depth,Gape Width,Armor Plate N,Gill raker N,Opercular 4bar KT,Gill raker 1 length,Gill Raker Density,Fin Width
AMO,47.888,0.004,-0.057,0.101,-0.114,-0.502,-0.106,8.571,20.381,-0.36,0.139,-0.019,-0.344
ANU,51.626,-0.677,-0.385,-0.168,-0.127,0.175,-0.347,14.471,20.152,0.006,0.086,-0.05,-0.0922
BEA,52.909,-0.033,-0.157,-0.015,-0.055,-1.004,-0.166,7.182,18,-0.331,0.022,0.031,0.387
BEW,44.722,-0.392,-0.214,-0.03,-0.149,0.409,-0.385,10,18,-0.587,0.079,0.085,-0.728
BLA,47.363,-0.416,-0.182,-0.06,0.019,-0.803,-0.107,7.455,18.818,-0.157,-0.212,-0.018,-0.019
BLK,56.18,0.223,0.336,0.056,0.016,0.429,0.295,8.304,20.136,-0.029,0.001,-0.014,0.356
BOO,56.265,-0.221,-0.221,0.087,-0.117,-0.663,-0.331,8.667,21.044,0.166,-0.029,-0.012,0.189
BRB,45.659,0.8,0.566,0.017,0.188,0.002,0.08,8.25,19.7,-0.052,0.242,0.037,0.188
BRE,48.861,0.124,0.166,0.203,-0.055,-0.869,-0.118,8.25,18.667,0.277,-0.044,0.027,0.064
COM,53.14,0.208,-0.13,-0.007,-0.03,0.216,0.227,8.63,19.736,0.02,-0.044,0.016,-0.615
ECH,56.439,-0.188,-0.046,0.05,-0.136,0.311,-0.043,7.654,19.5,-0.069,0.079,-0.017,-0.056
FAR,54.337,0.595,0.48,0.036,0.018,0.636,0.327,8.043,20.048,-0.017,-0.021,0.035,0.346
FRE,42.185,0.187,0.245,-0.191,-0.059,0.289,0.137,8.214,20.5,-0.115,0.075,-0.018,-0.221
GRY,53.118,0.022,-0.004,-0.011,0.009,-0.557,-0.032,8.4,18.257,-0.128,0.024,0.003,-0.632
KID,51.217,-0.248,-0.249,-0.013,0.152,-1.074,0.072,7.115,17.787,-0.371,-0.184,0.038,-0.28
L2B,48.87,-0.425,-0.361,-0.091,0.185,0.383,-0.129,7.6,18.4,-0.47,-0.135,-0.001,-0.473
LAW,51.622,-0.329,-0.098,-0.096,0.07,0.107,0.102,8.031,18.677,0.49,-0.126,-0.001,0.044
LMU,54.901,0.004,-0.001,0.071,0.073,0.671,0.025,6.634,19.474,0.696,0.003,0,0.428
LWO,51.1,0.143,-0.009,-0.02,-0.094,-0.429,-0.021,8.782,19.529,-0.164,-0.064,-0.018,-0.466
MER,59.435,0.03,-0.013,0.255,-0.093,0.27,-0.258,9,21.667,0.361,-0.047,-0.005,0.422
NIM,44.362,-0.22,-0.157,0.028,-0.053,0.338,-0.115,14.583,20,0.301,0.104,-0.013,0.826
ORM,54.072,0.192,-0.013,0.083,0.086,0.745,0.006,9,21.25,-0.115,-0.019,0.029,1.115
PCH,37.552,-0.21,-0.14,0.081,-0.116,0.25,0.17,9.077,20.692,-0.627,-0.198,-0.02,0.195
ROS,47.756,0.369,0.261,-0.034,0.063,-0.001,-0.063,7.628,19.367,0.11,0.147,-0.003,0.213
RSS,50.063,-0.433,-0.172,-0.059,-0.171,0.398,0.054,8.163,19.75,-0.42,-0.065,-0.023,-0.372
SRA,52.277,0.132,0.305,-0.108,-0.042,0.853,0.039,7.87,18.418,0.243,0.005,0.007,-0.215
THE,49.875,0.275,0.126,0.143,0.087,0.441,-0.013,8.33,20.13,0.653,0.078,0.013,1.715
WOS,44.892,-0.224,-0.129,-0.008,-0.1,0.675,0.06,13.407,19.72,-0.044,0.034,-0.015,-0.233
