Population,Standard Length,Head Length,Snout Length,Eye Diameter,CP Depth,Body Depth,Gape Width,Armor Plate N,Gill raker N,Opercular 4bar KT,Gill raker 1 length,Gill raker 2 length,Gill Raker Density,Fin Aspect Ratio
AMO,47.888,0.004,-0.057,0.1,-0.114,-0.502,-0.105,8.571,20.381,-0.363,0.138,0.117,-0.019,0.465
ANU,51.626,-0.679,-0.385,-0.169,-0.129,0.169,-0.345,14.471,20.152,0.002,0.086,0.082,-0.05,0.393
BEA,52.909,-0.036,-0.158,-0.016,-0.057,-1.01,-0.163,7.182,18,-0.337,0.023,0.002,0.031,0.216
BLA,47.363,-0.415,-0.181,-0.06,0.018,-0.802,-0.107,7.455,18.818,-0.16,-0.212,-0.203,-0.018,0.201
BLK,56.18,0.217,0.335,0.055,0.013,0.414,0.298,8.304,20.136,-0.036,0.002,0.024,-0.0136,0.187
BOO,56.265,-0.227,-0.223,0.086,-0.12,-0.678,-0.328,8.667,21.044,0.158,-0.028,-0.021,-0.012,0.423
BRB,45.02,0.825,0.595,0.038,0.235,0.119,0.022,8.474,20,0.011,0.202,0.22,0.04,0.359
BRE,48.861,0.124,0.166,0.202,-0.056,-0.87,-0.174,8.2,18.5,0.333,-0.032,-0.02,0.028,0.156
COM,53.14,0.204,-0.13,-0.007,-0.03,0.206,0.229,8.63,19.736,0.014,-0.044,-0.06,0.017,0.555
ECH,56.439,-0.194,-0.048,0.049,-0.139,0.296,-0.019,7.654,19.5,-0.058,0.088,0.098,-0.02,0.384
FAR,54.337,0.59,0.478,0.035,0.016,0.623,0.343,8.043,20.048,-0.006,-0.01,-0.017,0.034,0.285
FRE,42.185,0.194,0.247,-0.192,-0.058,0.302,0.135,8.214,20.5,-0.115,0.073,0.061,-0.018,0.3
GRY,53.169,0.035,-0.009,-0.006,0.009,-0.572,-0.035,8.389,18.25,-0.127,0.025,0.009,0.004,0.706
KID,51.217,-0.25,-0.25,-0.014,0.15,-1.08,0.074,7.115,17.787,-0.376,-0.184,-0.199,0.038,0.338
L2B,48.87,-0.425,-0.36,-0.091,0.184,0.381,-0.117,7.6,18.4,-0.479,-0.137,-0.138,-0.001,0.298
LAW,51.733,-0.284,-0.083,-0.087,0.073,0.174,0.091,8.029,18.636,0.45,-0.091,-0.102,0.004,0.438
LMU,54.901,-0.001,-0.002,0.07,0.07,0.657,0.028,8.684,19.474,0.689,0.003,0.021,0,0.153
LWO,51.1,0.141,-0.009,-0.02,-0.095,-0.435,-0.026,8.782,19.529,-0.168,-0.064,-0.032,-0.018,0.41
MER,59.435,0.022,-0.015,0.254,-0.093,0.25,-0.254,9,21.667,0.353,-0.046,-0.003,-0.004,0.23
NIM,44.362,-0.218,-0.157,0.028,-0.053,0.34,-0.116,14.583,20,0.3,0.103,0.133,-0.014,0.432
ORM,54.072,0.188,-0.014,0.083,0.083,0.735,0.008,9,21.25,-0.12,-0.019,0.0243,0.029,0.272
PCH,37.552,-0.202,-0.137,0.081,-0.114,0.267,0.166,8.077,20.692,-0.626,-0.047,-0.072,-0.007,0.422
ROS,47.756,0.37,0.262,-0.035,0.063,0,-0.063,7.628,19.367,0.101,0.147,0.131,-0.003,0.226
RSS,50.063,-0.436,-0.173,-0.06,-0.173,0.391,0.055,8.136,19.75,-0.425,-0.065,-0.057,-0.023,0.349
SRA,52.277,-0.136,0.304,-0.109,-0.044,0.844,0.041,7.87,18.418,0.238,0.005,-0.003,0.008,0.684
THE,49.876,0.274,0.126,0.143,0.085,0.439,-0.012,8.33,20.13,0.65,0.078,0.066,0.013,0.367
WOS,44.892,-0.22,-0.128,-0.009,-0.1,0.681,0.059,13.407,19.72,-0.046,0.034,0.049,-0.015,0.512
