source_file,original_column,original_value,LakeID
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,amor,amor
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,anutz,anutz
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,beaver,beaver
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,bewlay,bewlay
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,black,black
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,blackwater,blackwater
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,boot,boot
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,brewster,brewster
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,brownbay,brownbay
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,cedar,cedar
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,comida,comida
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,dugout,dugout
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,echo,echo
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,far,far
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,frederick,frederick
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,fry,fry
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,gramma,gramma
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,gray,gray
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,joe,joe
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,kidney,kidney
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,lawson,lawson
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,littlemud,littlemud
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,littlewoss,littlewoss
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,lowercampbell,lowercampbell
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,lowerstella,lowerstella
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,mccreight,mccreight
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,mcn,mcn
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,merrill,merrill
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,mohun,mohun
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,msk,msk
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,muchalata,muchalata
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,mud,mud
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,nimpkish,nimpkish
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,ormand,ormand
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,pachena,pachena
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,roberts,roberts
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,roselle,roselle
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,rss,rosseau
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,sarita,sarita
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,skating pond,skatingpond
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,stella,stella
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,sug saw,sugsaw
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,theimer,theimer
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,tsiko,tsiko
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,uppercampbell,uppercampbell
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,vernon,vernon
01_WorkingData/Bathymetry Data/LakeBathymetry.csv,LakeID,woss,woss
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,amor,amor
